quota_id,month,ae_id,target_amount
q_2026_01_ae_001,2026-01,ae_001,210000.0
q_2026_01_ae_002,2026-01,ae_002,150000.0
q_2026_01_ae_003,2026-01,ae_003,210000.0
q_2026_01_ae_004,2026-01,ae_004,95000.0
q_2026_01_ae_005,2026-01,ae_005,150000.0
q_2026_01_ae_006,2026-01,ae_006,210000.0
q_2026_02_ae_001,2026-02,ae_001,210000.0
q_2026_02_ae_002,2026-02,ae_002,150000.0
q_2026_02_ae_003,2026-02,ae_003,210000.0
q_2026_02_ae_004,2026-02,ae_004,95000.0
q_2026_02_ae_005,2026-02,ae_005,150000.0
q_2026_02_ae_006,2026-02,ae_006,210000.0
q_2026_03_ae_001,2026-03,ae_001,210000.0
q_2026_03_ae_002,2026-03,ae_002,150000.0
q_2026_03_ae_003,2026-03,ae_003,210000.0
q_2026_03_ae_004,2026-03,ae_004,95000.0
q_2026_03_ae_005,2026-03,ae_005,150000.0
q_2026_03_ae_006,2026-03,ae_006,210000.0
q_2026_04_ae_001,2026-04,ae_001,262500.0
q_2026_04_ae_002,2026-04,ae_002,187500.0
q_2026_04_ae_003,2026-04,ae_003,262500.0
q_2026_04_ae_004,2026-04,ae_004,118750.0
q_2026_04_ae_005,2026-04,ae_005,187500.0
q_2026_04_ae_006,2026-04,ae_006,262500.0
q_2026_05_ae_001,2026-05,ae_001,210000.0
q_2026_05_ae_002,2026-05,ae_002,150000.0
q_2026_05_ae_003,2026-05,ae_003,210000.0
q_2026_05_ae_004,2026-05,ae_004,95000.0
q_2026_05_ae_005,2026-05,ae_005,150000.0
q_2026_05_ae_006,2026-05,ae_006,210000.0
q_2026_06_ae_001,2026-06,ae_001,210000.0
q_2026_06_ae_002,2026-06,ae_002,150000.0
q_2026_06_ae_003,2026-06,ae_003,210000.0
q_2026_06_ae_004,2026-06,ae_004,95000.0
q_2026_06_ae_005,2026-06,ae_005,150000.0
q_2026_06_ae_006,2026-06,ae_006,210000.0
