risk_flag_id,opportunity_id,risk_type,risk_description,severity,is_active,created_date
r_opp_001_high_value_exposure,opp_001,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_004_close_date_slippage,opp_004,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_005_stale_stage,opp_005,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_005_no_next_step,opp_005,no_next_step,no_next_step,medium,True,2026-06-24
r_opp_005_close_date_slippage,opp_005,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_005_high_value_exposure,opp_005,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_005_commit_hygiene,opp_005,commit_hygiene,commit_hygiene,high,True,2026-06-24
r_opp_006_close_date_slippage,opp_006,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_007_close_date_slippage,opp_007,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_007_high_value_exposure,opp_007,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_008_stale_stage,opp_008,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_009_stale_stage,opp_009,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_010_close_date_slippage,opp_010,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_011_stale_stage,opp_011,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_011_no_next_step,opp_011,no_next_step,no_next_step,medium,True,2026-06-24
r_opp_011_close_date_slippage,opp_011,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_011_high_value_exposure,opp_011,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_011_commit_hygiene,opp_011,commit_hygiene,commit_hygiene,high,True,2026-06-24
r_opp_012_stale_stage,opp_012,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_012_high_value_exposure,opp_012,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_013_stale_stage,opp_013,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_013_high_value_exposure,opp_013,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_016_close_date_slippage,opp_016,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_017_close_date_slippage,opp_017,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_018_close_date_slippage,opp_018,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_019_close_date_slippage,opp_019,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_020_close_date_slippage,opp_020,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_020_high_value_exposure,opp_020,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_021_stale_stage,opp_021,stale_stage,stale_stage,medium,True,2026-06-24
